epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75613,0,31.7227,0,0,0,0,0,0,9.43918,0,0,0,0
2,5.37261,0,31.6699,0,0,0,0,0,0,9.44625,0,1.63399e-05,1.63399e-05,1.63399e-05
3,8.0012,0,31.6588,0,0,0,0,0,0,9.45244,0,3.20197e-05,3.20197e-05,3.20197e-05
4,11.008,0,31.4517,0,0,0,0,0,0,9.45838,0,4.70394e-05,4.70394e-05,4.70394e-05
5,13.795,0,31.3746,0,0,0,0,0,0,9.46377,0,6.13989e-05,6.13989e-05,6.13989e-05
6,17.0031,0,31.2333,0,0,0,0,0,0,9.46716,0,7.50984e-05,7.50984e-05,7.50984e-05
7,19.7185,0,31.0105,0,0,0,0,0,0,9.46849,0,8.81376e-05,8.81376e-05,8.81376e-05
8,23.606,0,30.9378,0,0,0,0,0,0,9.46768,0,0.000100517,0.000100517,0.000100517
9,27.1226,0,30.8347,0,0,0,0,0,0,9.46473,0,0.000112236,0.000112236,0.000112236
10,29.8568,0,30.6992,0,0,0,0,0,0,9.45863,0,0.000123295,0.000123295,0.000123295
11,32.2476,0,30.5217,0,0,0,0,0,0,9.45209,0,0.000133693,0.000133693,0.000133693
12,34.6862,0,30.3791,0,0,0,0,0,0,9.44666,0,0.000143432,0.000143432,0.000143432
13,37.1078,0,30.2145,0,0,0,0,0,0,9.44223,0,0.00015251,0.00015251,0.00015251
14,39.4516,0,30.0808,0,0,0,0,0,0,9.43811,0,0.000160929,0.000160929,0.000160929
15,41.8611,0,29.8777,0,0,0,0,0,0,9.43589,0,0.000168687,0.000168687,0.000168687
16,44.239,0,29.6379,0,0,0,0,0,0,9.43826,0,0.000175785,0.000175785,0.000175785
17,46.6093,0,29.5545,0,0,0,0,0,0,9.44272,0,0.000182223,0.000182223,0.000182223
18,48.883,0,29.2207,0,0,0,0,0,0,9.44272,0,0.000188001,0.000188001,0.000188001
19,51.3876,0,29.3351,0,0,0,0,0,0,9.45198,0,0.000193119,0.000193119,0.000193119
20,53.7693,0,29.0303,0,0,0,0,0,0,9.45198,0,0.000197576,0.000197576,0.000197576
21,56.1273,0,29.0026,0,0,0,0,0,0,9.46393,0,0.000201374,0.000201374,0.000201374
22,58.4532,0,28.6804,0,0,0,0,0,0,9.46393,0,0.000204511,0.000204511,0.000204511
23,60.8109,0,28.885,0,0,0,0,0,0,9.47647,0,0.000206988,0.000206988,0.000206988
24,63.1003,0,28.3531,0,0,0,0,0,0,9.47647,0,0.000208805,0.000208805,0.000208805
25,65.4186,0,28.5024,0,0,0,0,0,0,9.48865,0,0.000209962,0.000209962,0.000209962
26,67.9305,0,28.0457,0,0,0,0,0,0,9.48865,0,0.000210459,0.000210459,0.000210459
27,70.248,0,27.9256,0,0,0,0,0,0,9.50105,0,0.000210295,0.000210295,0.000210295
28,72.5799,0,27.6525,0,0,0,0,0,0,9.50105,0,0.000209472,0.000209472,0.000209472
29,75.0941,0,27.4639,0,0,0,0,0,0,9.50836,0,0.000207988,0.000207988,0.000207988
30,77.4453,0,27.2683,0,0,0,0,0,0,9.50836,0,0.000205844,0.000205844,0.000205844
31,79.7681,0,27.1473,0,0,0,0,0,0,9.50358,0,0.000203041,0.000203041,0.000203041
32,82.1082,0,27.0203,0,0,0,0,0,0,9.50358,0,0.000199577,0.000199577,0.000199577
33,84.5343,0,26.8482,0,0,0,0,0,0,9.47666,0,0.000195452,0.000195452,0.000195452
34,86.8078,0,26.3348,0,0,0,0,0,0,9.47666,0,0.000190668,0.000190668,0.000190668
35,89.2195,0,26.497,0,0,0,0,0,0,9.41282,0,0.000185224,0.000185224,0.000185224
36,91.4483,0,26.0059,0,0,0,0,0,0,9.41282,0,0.000179119,0.000179119,0.000179119
37,93.7652,0,26.1844,0,0,0,0,0,0,9.33195,0,0.000172354,0.000172354,0.000172354
38,96.1386,0,25.9386,0,0,0,0,0,0,9.33195,0,0.00016493,0.00016493,0.00016493
39,98.5753,0,25.4325,0,0,0,0,0,0,9.2403,0,0.000156845,0.000156845,0.000156845
40,101.095,0,25.5435,0,0,0,0,0,0,9.2403,0,0.0001481,0.0001481,0.0001481
41,103.424,0,25.4494,0,0,0,0,0,0,9.15423,0,0.000138694,0.000138694,0.000138694
42,105.727,0,24.9657,0,0,0,0,0,0,9.15423,0,0.000128629,0.000128629,0.000128629
43,108.135,0,24.9527,0,0,0,0,0,0,9.08035,0,0.000117904,0.000117904,0.000117904
44,110.409,0,24.7454,0,0,0,0,0,0,9.08035,0,0.000106518,0.000106518,0.000106518
45,112.698,0,24.8008,0,0,0,0,0,0,9.02729,0,9.44722e-05,9.44722e-05,9.44722e-05
46,115.041,0,24.5385,0,0,0,0,0,0,9.02729,0,8.17663e-05,8.17663e-05,8.17663e-05
47,117.544,0,24.432,0,0,0,0,0,0,8.9779,0,6.84003e-05,6.84003e-05,6.84003e-05
48,119.817,0,24.2293,0,0,0,0,0,0,8.9779,0,5.43742e-05,5.43742e-05,5.43742e-05
49,122.085,0,24.2283,0,0,0,0,0,0,8.939,0,3.96879e-05,3.96879e-05,3.96879e-05
50,124.391,0,24.2876,0,0,0,0,0,0,8.939,0,2.43415e-05,2.43415e-05,2.43415e-05
